Sector,Region,Year,Emissions_Mt
Organic Soil,Eurasia,1993,157.84818330633698
Organic Soil,Europe,1993,130.556414050412
Organic Soil,North America,1993,45.670790127969795
Organic Soil,South-East Asia and developing Pacific,1993,445.662199999999
Other,Africa,1993,37.25707
Other,Asia-Pacific Developed,1993,-27.943760996
Other,Eastern Asia,1993,-117.7808
Other,Eurasia,1993,33.556083718000004
Other,Europe,1993,-71.32854736823799
Other,Latin America and Caribbean,1993,3.8198576000000197
Other,Middle East,1993,-1.06854
Other,North America,1993,-319.7845355
Other,South-East Asia and developing Pacific,1993,-43.14924
Other,Southern Asia,1993,-139.475
Net,EU27,1993,-524.3023660478897
Forest Land,EU27,1993,-595.2198370462668
Organic Soil,EU27,1993,99.80132913809341
Deforestation,EU27,1993,25.436923545861
Other,EU27,1993,-63.554944593577396
Fires,EU27,1993,9.234162907999998
Net,WORLD,1993,-3388.277748136785
Forest Land,WORLD,1993,-10164.0
Organic Soil,WORLD,1993,782.967142138085
Deforestation,WORLD,1993,5051.60790180072
Other,WORLD,1993,-645.897
Fires,WORLD,1993,1587.04420792441
Net,Africa,1994,-1606.6011779469577
Net,Asia-Pacific Developed,1994,-102.6228538290494
Net,Eastern Asia,1994,-1430.34502169279
Net,Eurasia,1994,-1131.1841860195161
Net,Europe,1994,-687.2529731436938
Net,Latin America and Caribbean,1994,1066.0521131168148
Net,Middle East,1994,93.96249773611756
Net,North America,1994,-1646.9914454409009
Net,South-East Asia and developing Pacific,1994,1026.1324054073054
Net,Southern Asia,1994,911.1664472127596
Deforestation,Africa,1994,1641.98340258
Deforestation,Asia-Pacific Developed,1994,92.1451238024871
Deforestation,Eastern Asia,1994,2.303
Deforestation,Eurasia,1994,12.662615412975901
Deforestation,Europe,1994,29.9792692479082
Deforestation,Latin America and Caribbean,1994,2464.825507
Deforestation,Middle East,1994,99.6917299999999
Deforestation,North America,1994,128.970718686455
Deforestation,South-East Asia and developing Pacific,1994,533.7878548
Deforestation,Southern Asia,1994,28.874991199999997
Fires,Africa,1994,124.398526237692
Fires,Asia-Pacific Developed,1994,386.51833772829804
Fires,Eastern Asia,1994,118.61550522847999
Fires,Eurasia,1994,589.504504824646
Fires,Europe,1994,34.0091358941481
Fires,Latin America and Caribbean,1994,96.50860264874481
Fires,Middle East,1994,4.91960512920331
Fires,North America,1994,285.80428894352
Fires,South-East Asia and developing Pacific,1994,2.6370678246413397
Fires,Southern Asia,1994,8.6494934658997
Forest Land,Africa,1994,-3410.2401767646497
Forest Land,Asia-Pacific Developed,1994,-565.045065134131
Forest Land,Eastern Asia,1994,-1433.48272692127
Forest Land,Eurasia,1994,-1886.38238047852
Forest Land,Europe,1994,-788.0240845981391
Forest Land,Latin America and Caribbean,1994,-1499.10185413193
Forest Land,Middle East,1994,-9.58029739308565
Forest Land,North America,1994,-1757.63047636198
Forest Land,South-East Asia and developing Pacific,1994,87.19452278266499
Forest Land,Southern Asia,1994,1013.11696254686
Organic Soil,Asia-Pacific Developed,1994,3.29304999429653
Organic Soil,Eurasia,1994,156.420820396382
Organic Soil,Europe,1994,129.7686300374
Organic Soil,North America,1994,45.9670871911044
Organic Soil,South-East Asia and developing Pacific,1994,445.662199999999
Other,Africa,1994,37.25707
Other,Asia-Pacific Developed,1994,-19.534300220000002
Other,Eastern Asia,1994,-117.7808
Other,Eurasia,1994,-3.3897461750000004
Other,Europe,1994,-92.985923725011
Other,Latin America and Caribbean,1994,3.8198576000000197
Other,Middle East,1994,-1.06854
Other,North America,1994,-350.1030639
Other,South-East Asia and developing Pacific,1994,-43.14924
Other,Southern Asia,1994,-139.475
Net,EU27,1994,-476.31381959822704
Forest Land,EU27,1994,-541.9726489210751
Organic Soil,EU27,1994,99.004318976754
Deforestation,EU27,1994,25.1355489289695
Other,EU27,1994,-82.26134018287556
Fires,EU27,1994,23.7803016
Net,WORLD,1994,-3507.708931725727
Forest Land,WORLD,1994,-10249.2
Organic Soil,WORLD,1994,781.1117876191839
Deforestation,WORLD,1994,5035.22421272982
Other,WORLD,1994,-726.41
Fires,WORLD,1994,1651.5650679252701
Net,Africa,1995,-1501.702794171988
Net,Asia-Pacific Developed,1995,-124.72887791085364
Net,Eastern Asia,1995,-1424.87326397394
Net,Eurasia,1995,-1132.7783873238875
Net,Europe,1995,-658.8403107761652
Net,Latin America and Caribbean,1995,1140.0195268351947
Net,Middle East,1995,94.12630861158367
Net,North America,1995,-1600.9056024595156
Net,South-East Asia and developing Pacific,1995,986.483906934513
Net,Southern Asia,1995,918.7974818349397
Deforestation,Africa,1995,1641.98340258
Deforestation,Asia-Pacific Developed,1995,81.75476012097441
Deforestation,Eastern Asia,1995,2.303
Deforestation,Eurasia,1995,13.9041434666314
Deforestation,Europe,1995,30.1544574027876
Deforestation,Latin America and Caribbean,1995,2464.825507
Deforestation,Middle East,1995,99.6917299999999
Deforestation,North America,1995,128.978306439119
Deforestation,South-East Asia and developing Pacific,1995,533.7878548
Deforestation,Southern Asia,1995,28.874991199999997
Fires,Africa,1995,124.398526237692
Fires,Asia-Pacific Developed,1995,386.51833772829804
Fires,Eastern Asia,1995,118.61550522847999
Fires,Eurasia,1995,589.504504824646
Fires,Europe,1995,34.0091358941481
Fires,Latin America and Caribbean,1995,96.50860264874481
Fires,Middle East,1995,4.91960512920331
Fires,North America,1995,285.80428894352
Fires,South-East Asia and developing Pacific,1995,2.6370678246413397
Fires,Southern Asia,1995,8.6494934658997
Forest Land,Africa,1995,-3305.34179298968
Forest Land,Asia-Pacific Developed,1995,-559.712821517825
Forest Land,Eastern Asia,1995,-1428.01096920242
