Sector,Region,Year,Emissions_Mt
Organic Soil,North America,1996,94.331312825954
Other Land,North America,1996,-133.94846854439
Deforestation,South-East Asia and Pacific,1996,1247.1652972032
Fires,South-East Asia and Pacific,1996,75.559302760795
Forest Land,South-East Asia and Pacific,1996,-151.61444744596
Organic Soil,South-East Asia and Pacific,1996,475.47068414439
Other Land,South-East Asia and Pacific,1996,213.02798469349
Deforestation,Southern Asia,1996,22.411324776583
Fires,Southern Asia,1996,8.1668985524792
Forest Land,Southern Asia,1996,1026.3320179139
Organic Soil,Southern Asia,1996,26.632118266022
Other Land,Southern Asia,1996,-0.079827982839102
Deforestation,Africa,1997,1333.0114825679
Fires,Africa,1997,187.71308206818
Forest Land,Africa,1997,-2122.963596272
Organic Soil,Africa,1997,59.489760077613
Other Land,Africa,1997,-138.28262686196
Deforestation,"Australia, Japan, and New Zealand",1997,14.760327365378
Fires,"Australia, Japan, and New Zealand",1997,149.64206297788
Forest Land,"Australia, Japan, and New Zealand",1997,-497.79388786811
Organic Soil,"Australia, Japan, and New Zealand",1997,10.698646987631
Other Land,"Australia, Japan, and New Zealand",1997,-3.7033114621939
Deforestation,Eastern Asia,1997,1.4294734735821
Fires,Eastern Asia,1997,36.808055307332
Forest Land,Eastern Asia,1997,-643.80145275563
Organic Soil,Eastern Asia,1997,26.17578572373
Other Land,Eastern Asia,1997,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1997,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1997,585.00230176194
Forest Land,Eastern Europe and West-Central Asia,1997,-2130.798707961
Organic Soil,Eastern Europe and West-Central Asia,1997,118.29602634457
Other Land,Eastern Europe and West-Central Asia,1997,37.097519294712
Deforestation,Europe,1997,1.0944800134732
Fires,Europe,1997,8.0840185229595
Forest Land,Europe,1997,-603.87853112011
Organic Soil,Europe,1997,194.18650795892
Other Land,Europe,1997,34.336791755133
Deforestation,Latin America and Caribbean,1997,2978.1710473467
Fires,Latin America and Caribbean,1997,77.935078159156
Forest Land,Latin America and Caribbean,1997,-2409.656159965
Organic Soil,Latin America and Caribbean,1997,12.526546029927
Other Land,Latin America and Caribbean,1997,-0.31642028970335
Deforestation,Middle East,1997,0.0026134822240509
Fires,Middle East,1997,1.9102997031787
Forest Land,Middle East,1997,-4.3657592245818
Other Land,Middle East,1997,-1.1644663420868
Deforestation,North America,1997,71.820354831878
Fires,North America,1997,106.73789316078
Forest Land,North America,1997,-480.06690839655
Organic Soil,North America,1997,94.599592462413
Other Land,North America,1997,-106.34103108286
Deforestation,South-East Asia and Pacific,1997,1247.1652972032
Fires,South-East Asia and Pacific,1997,22.108873762261
Forest Land,South-East Asia and Pacific,1997,-145.94201775609
Organic Soil,South-East Asia and Pacific,1997,476.91480189119
Other Land,South-East Asia and Pacific,1997,205.20522342372
Deforestation,Southern Asia,1997,22.411324776583
Fires,Southern Asia,1997,3.7311874284839
Forest Land,Southern Asia,1997,1028.5265109905
Organic Soil,Southern Asia,1997,26.628589975948
Other Land,Southern Asia,1997,-0.079827982839102
Deforestation,Africa,1998,1333.0114825679
Fires,Africa,1998,522.84319030762
Forest Land,Africa,1998,-2101.5359994247
Organic Soil,Africa,1998,59.716247410308
Other Land,Africa,1998,-137.34414407502
Deforestation,"Australia, Japan, and New Zealand",1998,14.760327365378
Fires,"Australia, Japan, and New Zealand",1998,396.09576261927
Forest Land,"Australia, Japan, and New Zealand",1998,-506.65328803931
Organic Soil,"Australia, Japan, and New Zealand",1998,10.890425371147
Other Land,"Australia, Japan, and New Zealand",1998,-1.8184041766741
Deforestation,Eastern Asia,1998,1.4294734735821
Fires,Eastern Asia,1998,144.60576943921
Forest Land,Eastern Asia,1998,-642.09901949242
Organic Soil,Eastern Asia,1998,26.215673560199
Other Land,Eastern Asia,1998,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1998,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1998,405.9246127511
Forest Land,Eastern Europe and West-Central Asia,1998,-2181.5737986941
Organic Soil,Eastern Europe and West-Central Asia,1998,118.48683839561
Other Land,Eastern Europe and West-Central Asia,1998,-45.315108024322
Deforestation,Europe,1998,1.0944800134732
Fires,Europe,1998,52.17024341143
Forest Land,Europe,1998,-601.95453223224
Organic Soil,Europe,1998,193.99698902653
Other Land,Europe,1998,25.693058134794
Deforestation,Latin America and Caribbean,1998,2978.1710473467
Fires,Latin America and Caribbean,1998,101.09912848862
Forest Land,Latin America and Caribbean,1998,-2364.7784391456
Organic Soil,Latin America and Caribbean,1998,12.584781990093
Other Land,Latin America and Caribbean,1998,25.475507357579
Deforestation,Middle East,1998,0.0026134822240509
Fires,Middle East,1998,7.6374474413114
Forest Land,Middle East,1998,-5.1483473672338
Other Land,Middle East,1998,-1.1644663420868
Deforestation,North America,1998,71.820354831878
Fires,North America,1998,367.93006127349
Forest Land,North America,1998,-484.66345841648
Organic Soil,North America,1998,95.125110844301
Other Land,North America,1998,-136.49550611005
Deforestation,South-East Asia and Pacific,1998,1247.1652972032
Fires,South-East Asia and Pacific,1998,145.23788493277
Forest Land,South-East Asia and Pacific,1998,-142.11378046924
Organic Soil,South-East Asia and Pacific,1998,479.35423235033
Other Land,South-East Asia and Pacific,1998,202.42749732019
Deforestation,Southern Asia,1998,22.411324776583
Fires,Southern Asia,1998,8.2510493660158
Forest Land,Southern Asia,1998,1035.7139655024
Organic Soil,Southern Asia,1998,26.557427536277
Other Land,Southern Asia,1998,-0.079827982839102
Deforestation,Africa,1999,1333.0114825679
Fires,Africa,1999,477.59028669921
Forest Land,Africa,1999,-2110.4463928574
Organic Soil,Africa,1999,60.131418809285
Other Land,Africa,1999,-136.57712432135
Deforestation,"Australia, Japan, and New Zealand",1999,14.760327365378
Fires,"Australia, Japan, and New Zealand",1999,477.71113794796
Forest Land,"Australia, Japan, and New Zealand",1999,-495.13876482871
Organic Soil,"Australia, Japan, and New Zealand",1999,11.126886502623
Other Land,"Australia, Japan, and New Zealand",1999,1.9651239670847
Deforestation,Eastern Asia,1999,1.4294734735821
Fires,Eastern Asia,1999,114.19084208199
Forest Land,Eastern Asia,1999,-660.50270945058
Organic Soil,Eastern Asia,1999,26.260610397328
Other Land,Eastern Asia,1999,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1999,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1999,703.39647079963
Forest Land,Eastern Europe and West-Central Asia,1999,-2132.5381635362
Organic Soil,Eastern Europe and West-Central Asia,1999,119.25735966331
Other Land,Eastern Europe and West-Central Asia,1999,-11.873366850842
Deforestation,Europe,1999,1.0944800134732
Fires,Europe,1999,22.474815481087
Forest Land,Europe,1999,-567.21879435158
Organic Soil,Europe,1999,196.44826450466
Other Land,Europe,1999,26.926908130737
Deforestation,Latin America and Caribbean,1999,2978.1710473467
Fires,Latin America and Caribbean,1999,131.5065309166
Forest Land,Latin America and Caribbean,1999,-2301.7886518477
Organic Soil,Latin America and Caribbean,1999,12.922538802141
Other Land,Latin America and Caribbean,1999,6.8823746035548
Deforestation,Middle East,1999,0.0026134822240509
Fires,Middle East,1999,5.1516917199859
Forest Land,Middle East,1999,-5.9322599951213
Other Land,Middle East,1999,-1.1644663420868
Deforestation,North America,1999,71.820354831878
Fires,North America,1999,184.0211749125
Forest Land,North America,1999,-458.74148671234
Organic Soil,North America,1999,95.768731196722
Other Land,North America,1999,-121.0617047896
Deforestation,South-East Asia and Pacific,1999,1247.1652972032
Fires,South-East Asia and Pacific,1999,183.04305095489
Forest Land,South-East Asia and Pacific,1999,-138.34939026103
Organic Soil,South-East Asia and Pacific,1999,481.89249528717
Other Land,South-East Asia and Pacific,1999,202.15701781419
Deforestation,Southern Asia,1999,22.411324776583
Fires,Southern Asia,1999,9.2492484204949
Forest Land,Southern Asia,1999,1112.9599466428
Organic Soil,Southern Asia,1999,26.633474700624
Other Land,Southern Asia,1999,-0.079827982839102
Deforestation,Africa,2000,1333.0114825679
Fires,Africa,2000,678.477490546
Forest Land,Africa,2000,-2032.3965525021
Organic Soil,Africa,2000,60.202573794612
Other Land,Africa,2000,-136.08472291385
Deforestation,"Australia, Japan, and New Zealand",2000,14.760327365378
Fires,"Australia, Japan, and New Zealand",2000,708.85509450043
Forest Land,"Australia, Japan, and New Zealand",2000,-484.67960880484
Organic Soil,"Australia, Japan, and New Zealand",2000,11.024762306573
Other Land,"Australia, Japan, and New Zealand",2000,1.525520960549
Deforestation,Eastern Asia,2000,1.4294734735821
Fires,Eastern Asia,2000,172.62207991029
Forest Land,Eastern Asia,2000,-664.01657125414
Organic Soil,Eastern Asia,2000,26.289708904971
Other Land,Eastern Asia,2000,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,2000,0.11649163448193
Fires,Eastern Europe and West-Central Asia,2000,874.17089040417
Forest Land,Eastern Europe and West-Central Asia,2000,-1995.8258891301
Organic Soil,Eastern Europe and West-Central Asia,2000,119.46758554776
Other Land,Eastern Europe and West-Central Asia,2000,-13.69379621131
Deforestation,Europe,2000,1.0944800134732
Fires,Europe,2000,33.854402423516
Forest Land,Europe,2000,-492.82461469261
Organic Soil,Europe,2000,196.33213419895
Other Land,Europe,2000,-3.9995801727655
Deforestation,Latin America and Caribbean,2000,2978.1710473467
Fires,Latin America and Caribbean,2000,80.80908782193
Forest Land,Latin America and Caribbean,2000,-2265.6618206715
Organic Soil,Latin America and Caribbean,2000,12.975762756869
Other Land,Latin America and Caribbean,2000,6.5335395047974
Deforestation,Middle East,2000,0.0026134822240509
Fires,Middle East,2000,4.1303095711699
Forest Land,Middle East,2000,-5.4118493575913
Other Land,Middle East,2000,-1.1644663420868
Deforestation,North America,2000,71.820354831878
Fires,North America,2000,196.23846828097
Forest Land,North America,2000,-452.12438347654
Organic Soil,North America,2000,96.54246665371
Other Land,North America,2000,-137.21405331721
Deforestation,South-East Asia and Pacific,2000,1247.1652972032
Fires,South-East Asia and Pacific,2000,198.93300736435
Forest Land,South-East Asia and Pacific,2000,-145.18925317427
Organic Soil,South-East Asia and Pacific,2000,483.47516279107
Other Land,South-East Asia and Pacific,2000,205.16358056437
Deforestation,Southern Asia,2000,22.411324776583
Fires,Southern Asia,2000,9.8627711506087
Forest Land,Southern Asia,2000,1143.9772966474
Organic Soil,Southern Asia,2000,26.523189148955
Other Land,Southern Asia,2000,-0.079827982839102
Deforestation,Africa,2001,1878.7908047015
Fires,Africa,2001,655.81419640717
Forest Land,Africa,2001,-1962.6498217609
Organic Soil,Africa,2001,60.140818498653
Other Land,Africa,2001,-136.69781104614
Deforestation,"Australia, Japan, and New Zealand",2001,13.523737176282
